lat,lon,TYPE
49.28631422,-123.1296856,Theft of Vehicle
49.28226359,-123.116392,Break and Enter Commercia
49.28260303,-123.1158817,Break and Enter Commercia
49.28585778,-123.1230138,Break and Enter Commercia
49.28212844,-123.1176907,Break and Enter Commercia
49.28468064,-123.1129674,Break and Enter Commercia
49.28417404,-123.1139869,Break and Enter Commercia
49.28417404,-123.1139869,Break and Enter Commercia
49.28417404,-123.1139869,Break and Enter Commercia
49.27780095,-123.1135513,Break and Enter Commercia
49.29067212,-123.1336539,Break and Enter Commercia
49.28859034,-123.1289592,Break and Enter Commercia
49.28360259,-123.1223953,Break and Enter Commercia
49.28622284,-123.1265405,Break and Enter Commercia
49.28100827,-123.1344646,Theft of Vehicle
49.2915254,-123.1353182,Break and Enter Commercia
49.2777826,-123.1310857,Theft of Vehicle
49.28269706,-123.1368489,Theft of Vehicle
49.28273925,-123.1376621,Theft of Vehicle
49.28156965,-123.1394167,Theft of Vehicle
49.28229116,-123.1183293,Break and Enter Commercia
49.28316089,-123.1208972,Break and Enter Commercia
49.287096,-123.1284852,Break and Enter Commercia
49.287096,-123.1284852,Break and Enter Commercia
49.28736626,-123.127914,Break and Enter Commercia
49.28528635,-123.1199165,Break and Enter Residenti
49.28177834,-123.1205502,Break and Enter Commercia
49.28149115,-123.1200985,Break and Enter Commercia
49.28481946,-123.1246022,Break and Enter Commercia
49.28248083,-123.1182307,Break and Enter Commercia
49.28248083,-123.1182307,Break and Enter Commercia
49.28248083,-123.1182307,Break and Enter Commercia
49.28571375,-123.1143716,Break and Enter Commercia
49.28465368,-123.1149397,Break and Enter Commercia
49.27968174,-123.1366923,Theft of Vehicle
49.28446427,-123.1311604,Theft of Vehicle
49.28378576,-123.1182244,Break and Enter Residenti
49.28866157,-123.1261948,Break and Enter Residenti
49.28067845,-123.1358697,Theft of Vehicle
49.27723713,-123.1145919,Break and Enter Commercia
49.27742968,-123.1141184,Break and Enter Commercia
49.29028728,-123.1340599,Break and Enter Commercia
