lat,lon,TYPE,YEAR,MONTH,DAY,HOUR,date,elev
49.28516327,-123.1364836,Break and Enter Commercia,2012,1,22,1,2012-01-22,0
49.28516327,-123.1364836,Break and Enter Commercia,2012,9,6,22,2012-09-06,0
49.28879489,-123.1314132,Break and Enter Commercia,2012,2,6,1,2012-02-06,0
49.28889487,-123.1313887,Break and Enter Commercia,2012,2,15,19,2012-02-15,0
49.28889487,-123.1313887,Break and Enter Commercia,2012,3,31,15,2012-03-31,0
49.27831534,-123.1183583,Break and Enter Residenti,2012,7,27,11,2012-07-27,0
49.2905856,-123.1286582,Break and Enter Commercia,2012,9,14,7,2012-09-14,0
49.2906336,-123.1320793,Break and Enter Commercia,2012,2,27,6,2012-02-27,0
49.29054009,-123.1319346,Break and Enter Commercia,2012,8,24,0,2012-08-24,0
49.29031567,-123.1315874,Break and Enter Commercia,2012,1,22,2,2012-01-22,0
49.29031567,-123.1315874,Break and Enter Commercia,2012,1,23,0,2012-01-23,0
49.28710313,-123.1372121,Break and Enter Commercia,2012,3,23,5,2012-03-23,0
49.28710313,-123.1372121,Break and Enter Commercia,2012,5,1,6,2012-05-01,0
49.28934801,-123.1341539,Break and Enter Commercia,2012,5,19,11,2012-05-19,0
49.28817508,-123.1369125,Break and Enter Commercia,2012,12,13,19,2012-12-13,0
49.28773784,-123.1362369,Break and Enter Commercia,2012,6,4,9,2012-06-04,0
49.29023178,-123.1336094,Break and Enter Commercia,2012,12,31,3,2012-12-31,0
49.29007732,-123.1333746,Break and Enter Commercia,2012,11,1,5,2012-11-01,0
49.29230536,-123.1318087,Break and Enter Commercia,2012,3,23,2,2012-03-23,0
49.28674875,-123.1423201,Break and Enter Commercia,2012,11,17,1,2012-11-17,0
49.28834254,-123.1392869,Break and Enter Commercia,2012,3,14,9,2012-03-14,0
49.28715346,-123.1415531,Break and Enter Commercia,2012,7,29,17,2012-07-29,0
49.28683238,-123.1410579,Break and Enter Commercia,2012,1,3,6,2012-01-03,0
49.2865113,-123.1405627,Break and Enter Commercia,2012,2,14,4,2012-02-14,0
49.29034614,-123.1357566,Break and Enter Commercia,2012,6,30,2,2012-06-30,0
49.28771568,-123.1403055,Break and Enter Commercia,2012,3,19,3,2012-03-19,0
49.29136537,-123.135206,Break and Enter Commercia,2012,12,31,6,2012-12-31,0
49.29127248,-123.1350594,Break and Enter Commercia,2012,1,17,16,2012-01-17,0
49.29307446,-123.1357023,Break and Enter Commercia,2012,8,20,14,2012-08-20,0
49.29098098,-123.1369294,Break and Enter Commercia,2012,6,25,19,2012-06-25,0
49.29098098,-123.1369294,Break and Enter Commercia,2012,8,17,22,2012-08-17,0
49.29012364,-123.1396965,Break and Enter Commercia,2012,1,8,0,2012-01-08,0
49.28982494,-123.1394066,Break and Enter Commercia,2012,2,12,18,2012-02-12,0
49.29223461,-123.1365637,Break and Enter Commercia,2012,11,21,5,2012-11-21,0
49.29174117,-123.1357946,Break and Enter Commercia,2012,5,1,23,2012-05-01,0
49.29174117,-123.1357946,Break and Enter Commercia,2012,11,8,0,2012-11-08,0
49.29155046,-123.1397598,Break and Enter Commercia,2012,3,9,15,2012-03-09,0
49.29151762,-123.1397094,Break and Enter Commercia,2012,6,7,6,2012-06-07,0
49.29137721,-123.1396718,Break and Enter Commercia,2012,7,1,22,2012-07-01,0
49.29012211,-123.1420285,Break and Enter Commercia,2012,9,5,8,2012-09-05,0
49.29247967,-123.1392362,Break and Enter Commercia,2012,1,11,18,2012-01-11,0
49.2920557,-123.1384051,Break and Enter Commercia,2012,1,2,3,2012-01-02,0
49.29258328,-123.137097,Break and Enter Commercia,2012,12,5,18,2012-12-05,0
49.2919303,-123.1426679,Theft of Vehicle,2012,12,21,14,2012-12-21,0
49.27896068,-123.1125807,Break and Enter Commercia,2012,7,30,23,2012-07-30,0
49.292439,-123.1410643,Break and Enter Commercia,2012,12,9,16,2012-12-09,0
49.29093276,-123.1432736,Break and Enter Commercia,2012,12,5,3,2012-12-05,0
49.29278891,-123.1397176,Break and Enter Commercia,2012,10,7,23,2012-10-07,0
